Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M12;129,998
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M11;129,937
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M10;130,058
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M09;128,263
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M08;128,595
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M07;129,058
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M06;129,474
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M05;129,369
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M04;129,317
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M03;128,439
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M02;128,357
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2024M01;128,395
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M12;0,0
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M11;-0,1
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M10;1,4
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M09;-0,3
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M08;-0,4
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M07;-0,3
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M06;0,1
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M05;0,0
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M04;0,7
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M03;0,1
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M02;0,0
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M01;0,5
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M12;1,8
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M11;1,7
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M10;1,9
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M09;1,8
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M08;2,5
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M07;3,1
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M06;4,2
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M05;4,4
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M04;4,7
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M03;4,3
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M02;5,3
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2024M01;7,4
Nacional;01 Alimentos y bebidas no alcohólicas;Variación en lo que va de año;2024M12;1,8
Nacional;01 Alimentos y bebidas no alcohólicas;Variación en lo que va de año;2024M11;1,7
Nacional;01 Alimentos y bebidas no alcohólicas;Variación en lo que va de año;2024M10;1,8
Nacional;01 Alimentos y bebidas no alcohólicas;Variación en lo que va de año;2024M09;0,4
Nacional;01 Alimentos y bebidas no alcohólicas;Variación en lo que va de año;2024M08;0,7
Nacional;01 Alimentos y bebidas no alcohólicas;Variación en lo que va de año;2024M07;1,0
Nacional;01 Alimentos y bebidas no alcohólicas;Variación en lo que va de año;2024M06;1,4
