Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2025M10;
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2025M09;131,323
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2025M08;131,511
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2025M07;132,529
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2025M06;133,046
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2025M05;132,583
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2025M04;131,966
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2025M03;131,535
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2025M02;131,159
Nacional;01 Alimentos y bebidas no alcohólicas;Índice;2025M01;130,732
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M10;
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M09;-0,1
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M08;-0,8
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M07;-0,4
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M06;0,3
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M05;0,5
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M04;0,3
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M03;0,3
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M02;0,3
Nacional;01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M01;0,6
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2025M10;
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2025M09;2,4
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2025M08;2,3
Nacional;01 Alimentos y bebidas no alcohólicas;Variación anual;2025M07;2,7
