Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;;Vivienda nueva;Índice;2025T2;206,055
Nacional;;Vivienda nueva;Índice;2025T1;200,792
Nacional;;Vivienda nueva;Índice;2024T4;190,368
Nacional;;Vivienda nueva;Índice;2024T3;188,899
Nacional;;Vivienda nueva;Índice;2024T2;183,813
Nacional;;Vivienda nueva;Índice;2024T1;178,899
Nacional;;Vivienda nueva;Índice;2023T4;169,581
Nacional;;Vivienda nueva;Índice;2023T3;171,973
Nacional;;Vivienda nueva;Índice;2023T2;165,263
Nacional;;Vivienda nueva;Índice;2023T1;162,514
Nacional;;Vivienda nueva;Índice;2022T4;157,801
Nacional;;Vivienda nueva;Índice;2022T3;154,931
Nacional;;Vivienda nueva;Índice;2022T2;153,510
Nacional;;Vivienda nueva;Índice;2022T1;153,365
Nacional;;Vivienda nueva;Índice;2021T4;148,640
Nacional;;Vivienda nueva;Índice;2021T3;145,073
Nacional;;Vivienda nueva;Índice;2021T2;141,088
Nacional;;Vivienda nueva;Índice;2021T1;139,321
Nacional;;Vivienda nueva;Índice;2020T4;140,144
Nacional;;Vivienda nueva;Índice;2020T3;139,400
Nacional;;Vivienda nueva;Índice;2020T2;133,093
Nacional;;Vivienda nueva;Índice;2020T1;136,156
Nacional;;Vivienda nueva;Índice;2019T4;129,523
Nacional;;Vivienda nueva;Índice;2019T3;129,720
Nacional;;Vivienda nueva;Índice;2019T2;127,787
Nacional;;Vivienda nueva;Índice;2019T1;128,285
Nacional;;Vivienda nueva;Índice;2018T4;123,044
Nacional;;Vivienda nueva;Índice;2018T3;121,645
Nacional;;Vivienda nueva;Índice;2018T2;119,235
Nacional;;Vivienda nueva;Índice;2018T1;116,249
Nacional;;Vivienda nueva;Índice;2017T4;113,902
Nacional;;Vivienda nueva;Índice;2017T3;114,619
Nacional;;Vivienda nueva;Índice;2017T2;112,835
Nacional;;Vivienda nueva;Índice;2017T1;110,016
Nacional;;Vivienda nueva;Índice;2016T4;106,098
Nacional;;Vivienda nueva;Índice;2016T3;107,605
Nacional;;Vivienda nueva;Índice;2016T2;108,105
Nacional;;Vivienda nueva;Índice;2016T1;104,284
Nacional;;Vivienda nueva;Índice;2015T4;101,678
Nacional;;Vivienda nueva;Índice;2015T3;100,328
Nacional;;Vivienda nueva;Índice;2015T2;99,726
Nacional;;Vivienda nueva;Índice;2015T1;98,268
Nacional;;Vivienda nueva;Índice;2014T4;96,120
Nacional;;Vivienda nueva;Índice;2014T3;96,210
Nacional;;Vivienda nueva;Índice;2014T2;95,083
Nacional;;Vivienda nueva;Índice;2014T1;94,496
Nacional;;Vivienda nueva;Índice;2013T4;94,356
Nacional;;Vivienda nueva;Índice;2013T3;95,459
Nacional;;Vivienda nueva;Índice;2013T2;93,275
Nacional;;Vivienda nueva;Índice;2013T1;95,538
Nacional;;Vivienda nueva;Índice;2012T4;102,554
Nacional;;Vivienda nueva;Índice;2012T3;103,702
Nacional;;Vivienda nueva;Índice;2012T2;106,796
Nacional;;Vivienda nueva;Índice;2012T1;109,595
Nacional;;Vivienda nueva;Índice;2011T4;115,139
Nacional;;Vivienda nueva;Índice;2011T3;120,016
Nacional;;Vivienda nueva;Índice;2011T2;122,445
Nacional;;Vivienda nueva;Índice;2011T1;124,259
Nacional;;Vivienda nueva;Índice;2010T4;125,903
Nacional;;Vivienda nueva;Índice;2010T3;126,395
Nacional;;Vivienda nueva;Índice;2010T2;129,118
Nacional;;Vivienda nueva;Índice;2010T1;126,703
Nacional;;Vivienda nueva;Índice;2009T4;128,647
Nacional;;Vivienda nueva;Índice;2009T3;129,710
Nacional;;Vivienda nueva;Índice;2009T2;131,365
Nacional;;Vivienda nueva;Índice;2009T1;132,281
Nacional;;Vivienda nueva;Índice;2008T4;135,526
Nacional;;Vivienda nueva;Índice;2008T3;137,382
Nacional;;Vivienda nueva;Índice;2008T2;136,652
Nacional;;Vivienda nueva;Índice;2008T1;134,966
Nacional;;Vivienda nueva;Índice;2007T4;134,449
Nacional;;Vivienda nueva;Índice;2007T3;132,475
Nacional;;Vivienda nueva;Índice;2007T2;129,748
Nacional;;Vivienda nueva;Índice;2007T1;125,956
Nacional;;Vivienda segunda mano;Índice;2025T2;173,924
Nacional;;Vivienda segunda mano;Índice;2025T1;166,839
Nacional;;Vivienda segunda mano;Índice;2024T4;161,605
Nacional;;Vivienda segunda mano;Índice;2024T3;158,490
Nacional;;Vivienda segunda mano;Índice;2024T2;154,152
Nacional;;Vivienda segunda mano;Índice;2024T1;148,616
Nacional;;Vivienda segunda mano;Índice;2023T4;145,467
Nacional;;Vivienda segunda mano;Índice;2023T3;146,922
Nacional;;Vivienda segunda mano;Índice;2023T2;143,710
Nacional;;Vivienda segunda mano;Índice;2023T1;140,665
Nacional;;Vivienda segunda mano;Índice;2022T4;140,353
Nacional;;Vivienda segunda mano;Índice;2022T3;142,339
Nacional;;Vivienda segunda mano;Índice;2022T2;139,707
Nacional;;Vivienda segunda mano;Índice;2022T1;136,511
Nacional;;Vivienda segunda mano;Índice;2021T4;133,292
Nacional;;Vivienda segunda mano;Índice;2021T3;132,009
Nacional;;Vivienda segunda mano;Índice;2021T2;129,522
Nacional;;Vivienda segunda mano;Índice;2021T1;126,153
Nacional;;Vivienda segunda mano;Índice;2020T4;125,222
Nacional;;Vivienda segunda mano;Índice;2020T3;126,580
Nacional;;Vivienda segunda mano;Índice;2020T2;125,875
Nacional;;Vivienda segunda mano;Índice;2020T1;125,280
Nacional;;Vivienda segunda mano;Índice;2019T4;124,720
Nacional;;Vivienda segunda mano;Índice;2019T3;125,623
Nacional;;Vivienda segunda mano;Índice;2019T2;123,659
Nacional;;Vivienda segunda mano;Índice;2019T1;121,970
Nacional;;Vivienda segunda mano;Índice;2018T4;120,656
Nacional;;Vivienda segunda mano;Índice;2018T3;120,321
Nacional;;Vivienda segunda mano;Índice;2018T2;117,752
Nacional;;Vivienda segunda mano;Índice;2018T1;114,810
Nacional;;Vivienda segunda mano;Índice;2017T4;113,384
Nacional;;Vivienda segunda mano;Índice;2017T3;112,131
Nacional;;Vivienda segunda mano;Índice;2017T2;110,064
Nacional;;Vivienda segunda mano;Índice;2017T1;107,983
Nacional;;Vivienda segunda mano;Índice;2016T4;105,803
Nacional;;Vivienda segunda mano;Índice;2016T3;105,084
Nacional;;Vivienda segunda mano;Índice;2016T2;104,045
Nacional;;Vivienda segunda mano;Índice;2016T1;102,533
Nacional;;Vivienda segunda mano;Índice;2015T4;101,241
Nacional;;Vivienda segunda mano;Índice;2015T3;101,534
Nacional;;Vivienda segunda mano;Índice;2015T2;100,852
Nacional;;Vivienda segunda mano;Índice;2015T1;96,373
Nacional;;Vivienda segunda mano;Índice;2014T4;97,379
Nacional;;Vivienda segunda mano;Índice;2014T3;97,131
Nacional;;Vivienda segunda mano;Índice;2014T2;97,119
Nacional;;Vivienda segunda mano;Índice;2014T1;95,321
Nacional;;Vivienda segunda mano;Índice;2013T4;95,713
Nacional;;Vivienda segunda mano;Índice;2013T3;96,992
Nacional;;Vivienda segunda mano;Índice;2013T2;96,893
Nacional;;Vivienda segunda mano;Índice;2013T1;96,996
Nacional;;Vivienda segunda mano;Índice;2012T4;103,724
Nacional;;Vivienda segunda mano;Índice;2012T3;105,430
Nacional;;Vivienda segunda mano;Índice;2012T2;110,242
Nacional;;Vivienda segunda mano;Índice;2012T1;114,514
Nacional;;Vivienda segunda mano;Índice;2011T4;120,666
Nacional;;Vivienda segunda mano;Índice;2011T3;126,055
Nacional;;Vivienda segunda mano;Índice;2011T2;130,805
Nacional;;Vivienda segunda mano;Índice;2011T1;132,007
Nacional;;Vivienda segunda mano;Índice;2010T4;139,816
Nacional;;Vivienda segunda mano;Índice;2010T3;139,455
Nacional;;Vivienda segunda mano;Índice;2010T2;142,599
Nacional;;Vivienda segunda mano;Índice;2010T1;140,838
Nacional;;Vivienda segunda mano;Índice;2009T4;142,127
Nacional;;Vivienda segunda mano;Índice;2009T3;141,958
Nacional;;Vivienda segunda mano;Índice;2009T2;142,616
Nacional;;Vivienda segunda mano;Índice;2009T1;142,815
Nacional;;Vivienda segunda mano;Índice;2008T4;147,259
Nacional;;Vivienda segunda mano;Índice;2008T3;154,722
Nacional;;Vivienda segunda mano;Índice;2008T2;160,557
Nacional;;Vivienda segunda mano;Índice;2008T1;163,288
Nacional;;Vivienda segunda mano;Índice;2007T4;164,973
Nacional;;Vivienda segunda mano;Índice;2007T3;169,259
Nacional;;Vivienda segunda mano;Índice;2007T2;168,847
Nacional;;Vivienda segunda mano;Índice;2007T1;164,358
Nacional;01 Andalucía;Vivienda nueva;Índice;2025T2;218,247
Nacional;01 Andalucía;Vivienda nueva;Índice;2025T1;212,796
Nacional;01 Andalucía;Vivienda nueva;Índice;2024T4;203,521
Nacional;01 Andalucía;Vivienda nueva;Índice;2024T3;201,651
Nacional;01 Andalucía;Vivienda nueva;Índice;2024T2;188,391
Nacional;01 Andalucía;Vivienda nueva;Índice;2024T1;184,535
Nacional;01 Andalucía;Vivienda nueva;Índice;2023T4;173,254
Nacional;01 Andalucía;Vivienda nueva;Índice;2023T3;177,265
Nacional;01 Andalucía;Vivienda nueva;Índice;2023T2;166,201
Nacional;01 Andalucía;Vivienda nueva;Índice;2023T1;165,549
Nacional;01 Andalucía;Vivienda nueva;Índice;2022T4;164,477
Nacional;01 Andalucía;Vivienda nueva;Índice;2022T3;158,385
Nacional;01 Andalucía;Vivienda nueva;Índice;2022T2;156,989
Nacional;01 Andalucía;Vivienda nueva;Índice;2022T1;156,363
Nacional;01 Andalucía;Vivienda nueva;Índice;2021T4;151,316
Nacional;01 Andalucía;Vivienda nueva;Índice;2021T3;148,697
Nacional;01 Andalucía;Vivienda nueva;Índice;2021T2;141,129
Nacional;01 Andalucía;Vivienda nueva;Índice;2021T1;138,982
Nacional;01 Andalucía;Vivienda nueva;Índice;2020T4;140,672
Nacional;01 Andalucía;Vivienda nueva;Índice;2020T3;138,942
Nacional;01 Andalucía;Vivienda nueva;Índice;2020T2;133,607
Nacional;01 Andalucía;Vivienda nueva;Índice;2020T1;130,880
Nacional;01 Andalucía;Vivienda nueva;Índice;2019T4;128,593
Nacional;01 Andalucía;Vivienda nueva;Índice;2019T3;131,319
Nacional;01 Andalucía;Vivienda nueva;Índice;2019T2;125,020
Nacional;01 Andalucía;Vivienda nueva;Índice;2019T1;121,873
Nacional;01 Andalucía;Vivienda nueva;Índice;2018T4;120,724
Nacional;01 Andalucía;Vivienda nueva;Índice;2018T3;120,063
Nacional;01 Andalucía;Vivienda nueva;Índice;2018T2;116,144
Nacional;01 Andalucía;Vivienda nueva;Índice;2018T1;113,862
Nacional;01 Andalucía;Vivienda nueva;Índice;2017T4;112,820
Nacional;01 Andalucía;Vivienda nueva;Índice;2017T3;112,577
Nacional;01 Andalucía;Vivienda nueva;Índice;2017T2;111,232
Nacional;01 Andalucía;Vivienda nueva;Índice;2017T1;109,118
Nacional;01 Andalucía;Vivienda nueva;Índice;2016T4;106,750
Nacional;01 Andalucía;Vivienda nueva;Índice;2016T3;107,653
Nacional;01 Andalucía;Vivienda nueva;Índice;2016T2;109,103
Nacional;01 Andalucía;Vivienda nueva;Índice;2016T1;104,833
Nacional;01 Andalucía;Vivienda nueva;Índice;2015T4;102,005
Nacional;01 Andalucía;Vivienda nueva;Índice;2015T3;100,156
Nacional;01 Andalucía;Vivienda nueva;Índice;2015T2;100,469
Nacional;01 Andalucía;Vivienda nueva;Índice;2015T1;97,371
Nacional;01 Andalucía;Vivienda nueva;Índice;2014T4;95,789
Nacional;01 Andalucía;Vivienda nueva;Índice;2014T3;95,366
Nacional;01 Andalucía;Vivienda nueva;Índice;2014T2;94,562
Nacional;01 Andalucía;Vivienda nueva;Índice;2014T1;93,643
Nacional;01 Andalucía;Vivienda nueva;Índice;2013T4;93,330
Nacional;01 Andalucía;Vivienda nueva;Índice;2013T3;93,591
Nacional;01 Andalucía;Vivienda nueva;Índice;2013T2;92,340
Nacional;01 Andalucía;Vivienda nueva;Índice;2013T1;94,444
Nacional;01 Andalucía;Vivienda nueva;Índice;2012T4;99,005
Nacional;01 Andalucía;Vivienda nueva;Índice;2012T3;101,471
Nacional;01 Andalucía;Vivienda nueva;Índice;2012T2;102,727
Nacional;01 Andalucía;Vivienda nueva;Índice;2012T1;106,656
Nacional;01 Andalucía;Vivienda nueva;Índice;2011T4;110,674
Nacional;01 Andalucía;Vivienda nueva;Índice;2011T3;113,331
Nacional;01 Andalucía;Vivienda nueva;Índice;2011T2;115,418
Nacional;01 Andalucía;Vivienda nueva;Índice;2011T1;115,718
Nacional;01 Andalucía;Vivienda nueva;Índice;2010T4;116,809
Nacional;01 Andalucía;Vivienda nueva;Índice;2010T3;117,549
