Grupos ECOICOP;Tipo de dato;Periodo;Total
Índice general;Índice;2025M10;""
Índice general;Índice;2025M09;118,485
Índice general;Índice;2025M08;118,824
Índice general;Índice;2025M07;118,777
Índice general;Índice;2025M06;118,867
Índice general;Índice;2025M05;118,077
Índice general;Índice;2025M04;117,997
Índice general;Índice;2025M03;117,260
Índice general;Índice;2025M02;117,191
Índice general;Índice;2025M01;116,733
Índice general;Índice;2024M12;116,534
Índice general;Índice;2024M11;116,010
Índice general;Índice;2024M10;115,726
Índice general;Índice;2024M09;115,009
Índice general;Índice;2024M08;115,707
Índice general;Índice;2024M07;115,660
Índice general;Índice;2024M06;116,212
Índice general;Índice;2024M05;115,776
Índice general;Índice;2024M04;115,472
Índice general;Índice;2024M03;114,674
Índice general;Índice;2024M02;113,807
Índice general;Índice;2024M01;113,404
Índice general;Índice;2023M12;113,308
Índice general;Índice;2023M11;113,280
Índice general;Índice;2023M10;113,676
Índice general;Índice;2023M09;113,348
Índice general;Índice;2023M08;113,149
Índice general;Índice;2023M07;112,544
Índice general;Índice;2023M06;112,354
Índice general;Índice;2023M05;111,719
Índice general;Índice;2023M04;111,773
Índice general;Índice;2023M03;111,111
Índice general;Índice;2023M02;110,703
Índice general;Índice;2023M01;109,668
Índice general;Índice;2022M12;109,899
Índice general;Índice;2022M11;109,734
Índice general;Índice;2022M10;109,866
Índice general;Índice;2022M09;109,498
Índice general;Índice;2022M08;110,265
Índice general;Índice;2022M07;109,986
Índice general;Índice;2022M06;110,267
Índice general;Índice;2022M05;108,262
Índice general;Índice;2022M04;107,375
Índice general;Índice;2022M03;107,566
Índice general;Índice;2022M02;104,403
Índice general;Índice;2022M01;103,567
Índice general;Índice;2021M12;103,965
Índice general;Índice;2021M11;102,738
Índice general;Índice;2021M10;102,425
Índice general;Índice;2021M09;100,575
Índice general;Índice;2021M08;99,743
Índice general;Índice;2021M07;99,292
Índice general;Índice;2021M06;100,046
Índice general;Índice;2021M05;99,572
Índice general;Índice;2021M04;99,105
Índice general;Índice;2021M03;97,949
Índice general;Índice;2021M02;97,008
Índice general;Índice;2021M01;97,583
Índice general;Índice;2020M12;97,574
Índice general;Índice;2020M11;97,367
Índice general;Índice;2020M10;97,208
Índice general;Índice;2020M09;96,700
Índice general;Índice;2020M08;96,555
Índice general;Índice;2020M07;96,511
Índice general;Índice;2020M06;97,385
Índice general;Índice;2020M05;96,938
Índice general;Índice;2020M04;96,944
Índice general;Índice;2020M03;96,652
Índice general;Índice;2020M02;97,024
Índice general;Índice;2020M01;97,139
01 Alimentos y bebidas no alcohólicas;Índice;2025M10;""
01 Alimentos y bebidas no alcohólicas;Índice;2025M09;131,323
01 Alimentos y bebidas no alcohólicas;Índice;2025M08;131,511
01 Alimentos y bebidas no alcohólicas;Índice;2025M07;132,529
01 Alimentos y bebidas no alcohólicas;Índice;2025M06;133,046
01 Alimentos y bebidas no alcohólicas;Índice;2025M05;132,583
01 Alimentos y bebidas no alcohólicas;Índice;2025M04;131,966
01 Alimentos y bebidas no alcohólicas;Índice;2025M03;131,535
01 Alimentos y bebidas no alcohólicas;Índice;2025M02;131,159
01 Alimentos y bebidas no alcohólicas;Índice;2025M01;130,732
01 Alimentos y bebidas no alcohólicas;Índice;2024M12;129,998
01 Alimentos y bebidas no alcohólicas;Índice;2024M11;129,937
01 Alimentos y bebidas no alcohólicas;Índice;2024M10;130,058
01 Alimentos y bebidas no alcohólicas;Índice;2024M09;128,263
01 Alimentos y bebidas no alcohólicas;Índice;2024M08;128,595
01 Alimentos y bebidas no alcohólicas;Índice;2024M07;129,058
01 Alimentos y bebidas no alcohólicas;Índice;2024M06;129,474
01 Alimentos y bebidas no alcohólicas;Índice;2024M05;129,369
01 Alimentos y bebidas no alcohólicas;Índice;2024M04;129,317
01 Alimentos y bebidas no alcohólicas;Índice;2024M03;128,439
01 Alimentos y bebidas no alcohólicas;Índice;2024M02;128,357
01 Alimentos y bebidas no alcohólicas;Índice;2024M01;128,395
01 Alimentos y bebidas no alcohólicas;Índice;2023M12;127,728
01 Alimentos y bebidas no alcohólicas;Índice;2023M11;127,761
01 Alimentos y bebidas no alcohólicas;Índice;2023M10;127,630
01 Alimentos y bebidas no alcohólicas;Índice;2023M09;126,029
01 Alimentos y bebidas no alcohólicas;Índice;2023M08;125,420
01 Alimentos y bebidas no alcohólicas;Índice;2023M07;125,193
01 Alimentos y bebidas no alcohólicas;Índice;2023M06;124,245
01 Alimentos y bebidas no alcohólicas;Índice;2023M05;123,935
01 Alimentos y bebidas no alcohólicas;Índice;2023M04;123,474
01 Alimentos y bebidas no alcohólicas;Índice;2023M03;123,144
01 Alimentos y bebidas no alcohólicas;Índice;2023M02;121,849
01 Alimentos y bebidas no alcohólicas;Índice;2023M01;119,498
01 Alimentos y bebidas no alcohólicas;Índice;2022M12;119,044
01 Alimentos y bebidas no alcohólicas;Índice;2022M11;117,185
01 Alimentos y bebidas no alcohólicas;Índice;2022M10;116,610
01 Alimentos y bebidas no alcohólicas;Índice;2022M09;114,017
01 Alimentos y bebidas no alcohólicas;Índice;2022M08;113,481
01 Alimentos y bebidas no alcohólicas;Índice;2022M07;112,950
01 Alimentos y bebidas no alcohólicas;Índice;2022M06;112,609
01 Alimentos y bebidas no alcohólicas;Índice;2022M05;110,658
01 Alimentos y bebidas no alcohólicas;Índice;2022M04;109,328
01 Alimentos y bebidas no alcohólicas;Índice;2022M03;105,729
01 Alimentos y bebidas no alcohólicas;Índice;2022M02;104,470
01 Alimentos y bebidas no alcohólicas;Índice;2022M01;103,593
01 Alimentos y bebidas no alcohólicas;Índice;2021M12;102,903
01 Alimentos y bebidas no alcohólicas;Índice;2021M11;101,609
01 Alimentos y bebidas no alcohólicas;Índice;2021M10;101,013
01 Alimentos y bebidas no alcohólicas;Índice;2021M09;99,704
01 Alimentos y bebidas no alcohólicas;Índice;2021M08;99,760
01 Alimentos y bebidas no alcohólicas;Índice;2021M07;99,493
01 Alimentos y bebidas no alcohólicas;Índice;2021M06;99,699
01 Alimentos y bebidas no alcohólicas;Índice;2021M05;99,706
01 Alimentos y bebidas no alcohólicas;Índice;2021M04;99,281
01 Alimentos y bebidas no alcohólicas;Índice;2021M03;98,986
01 Alimentos y bebidas no alcohólicas;Índice;2021M02;98,953
01 Alimentos y bebidas no alcohólicas;Índice;2021M01;98,891
01 Alimentos y bebidas no alcohólicas;Índice;2020M12;98,049
01 Alimentos y bebidas no alcohólicas;Índice;2020M11;98,407
01 Alimentos y bebidas no alcohólicas;Índice;2020M10;99,329
01 Alimentos y bebidas no alcohólicas;Índice;2020M09;97,983
01 Alimentos y bebidas no alcohólicas;Índice;2020M08;97,905
01 Alimentos y bebidas no alcohólicas;Índice;2020M07;97,815
01 Alimentos y bebidas no alcohólicas;Índice;2020M06;98,636
01 Alimentos y bebidas no alcohólicas;Índice;2020M05;98,943
01 Alimentos y bebidas no alcohólicas;Índice;2020M04;98,955
01 Alimentos y bebidas no alcohólicas;Índice;2020M03;97,575
01 Alimentos y bebidas no alcohólicas;Índice;2020M02;97,436
01 Alimentos y bebidas no alcohólicas;Índice;2020M01;97,208
02 Bebidas alcohólicas y tabaco;Índice;2025M10;""
02 Bebidas alcohólicas y tabaco;Índice;2025M09;121,229
02 Bebidas alcohólicas y tabaco;Índice;2025M08;121,016
02 Bebidas alcohólicas y tabaco;Índice;2025M07;121,043
02 Bebidas alcohólicas y tabaco;Índice;2025M06;121,163
02 Bebidas alcohólicas y tabaco;Índice;2025M05;120,629
02 Bebidas alcohólicas y tabaco;Índice;2025M04;119,454
02 Bebidas alcohólicas y tabaco;Índice;2025M03;119,727
02 Bebidas alcohólicas y tabaco;Índice;2025M02;119,479
02 Bebidas alcohólicas y tabaco;Índice;2025M01;119,217
02 Bebidas alcohólicas y tabaco;Índice;2024M12;117,298
02 Bebidas alcohólicas y tabaco;Índice;2024M11;116,547
02 Bebidas alcohólicas y tabaco;Índice;2024M10;116,555
02 Bebidas alcohólicas y tabaco;Índice;2024M09;116,382
02 Bebidas alcohólicas y tabaco;Índice;2024M08;116,164
02 Bebidas alcohólicas y tabaco;Índice;2024M07;116,243
02 Bebidas alcohólicas y tabaco;Índice;2024M06;116,175
02 Bebidas alcohólicas y tabaco;Índice;2024M05;116,475
02 Bebidas alcohólicas y tabaco;Índice;2024M04;116,374
02 Bebidas alcohólicas y tabaco;Índice;2024M03;116,088
02 Bebidas alcohólicas y tabaco;Índice;2024M02;116,028
02 Bebidas alcohólicas y tabaco;Índice;2024M01;114,299
02 Bebidas alcohólicas y tabaco;Índice;2023M12;111,679
02 Bebidas alcohólicas y tabaco;Índice;2023M11;112,505
02 Bebidas alcohólicas y tabaco;Índice;2023M10;112,555
02 Bebidas alcohólicas y tabaco;Índice;2023M09;112,487
02 Bebidas alcohólicas y tabaco;Índice;2023M08;112,135
02 Bebidas alcohólicas y tabaco;Índice;2023M07;112,073
02 Bebidas alcohólicas y tabaco;Índice;2023M06;111,976
02 Bebidas alcohólicas y tabaco;Índice;2023M05;111,894
02 Bebidas alcohólicas y tabaco;Índice;2023M04;111,839
02 Bebidas alcohólicas y tabaco;Índice;2023M03;111,575
02 Bebidas alcohólicas y tabaco;Índice;2023M02;110,847
02 Bebidas alcohólicas y tabaco;Índice;2023M01;109,653
02 Bebidas alcohólicas y tabaco;Índice;2022M12;108,019
02 Bebidas alcohólicas y tabaco;Índice;2022M11;105,017
02 Bebidas alcohólicas y tabaco;Índice;2022M10;104,582
02 Bebidas alcohólicas y tabaco;Índice;2022M09;104,399
02 Bebidas alcohólicas y tabaco;Índice;2022M08;104,243
02 Bebidas alcohólicas y tabaco;Índice;2022M07;103,967
02 Bebidas alcohólicas y tabaco;Índice;2022M06;103,589
02 Bebidas alcohólicas y tabaco;Índice;2022M05;103,146
02 Bebidas alcohólicas y tabaco;Índice;2022M04;103,127
02 Bebidas alcohólicas y tabaco;Índice;2022M03;102,787
02 Bebidas alcohólicas y tabaco;Índice;2022M02;102,227
02 Bebidas alcohólicas y tabaco;Índice;2022M01;101,308
02 Bebidas alcohólicas y tabaco;Índice;2021M12;100,795
02 Bebidas alcohólicas y tabaco;Índice;2021M11;100,874
02 Bebidas alcohólicas y tabaco;Índice;2021M10;100,820
02 Bebidas alcohólicas y tabaco;Índice;2021M09;100,070
02 Bebidas alcohólicas y tabaco;Índice;2021M08;99,553
02 Bebidas alcohólicas y tabaco;Índice;2021M07;99,485
02 Bebidas alcohólicas y tabaco;Índice;2021M06;99,550
02 Bebidas alcohólicas y tabaco;Índice;2021M05;99,742
02 Bebidas alcohólicas y tabaco;Índice;2021M04;99,762
02 Bebidas alcohólicas y tabaco;Índice;2021M03;99,758
02 Bebidas alcohólicas y tabaco;Índice;2021M02;99,897
02 Bebidas alcohólicas y tabaco;Índice;2021M01;99,694
02 Bebidas alcohólicas y tabaco;Índice;2020M12;99,194
02 Bebidas alcohólicas y tabaco;Índice;2020M11;99,711
02 Bebidas alcohólicas y tabaco;Índice;2020M10;99,705
02 Bebidas alcohólicas y tabaco;Índice;2020M09;99,763
02 Bebidas alcohólicas y tabaco;Índice;2020M08;99,726
02 Bebidas alcohólicas y tabaco;Índice;2020M07;99,721
02 Bebidas alcohólicas y tabaco;Índice;2020M06;99,859
02 Bebidas alcohólicas y tabaco;Índice;2020M05;100,034
02 Bebidas alcohólicas y tabaco;Índice;2020M04;99,910
02 Bebidas alcohólicas y tabaco;Índice;2020M03;99,752
02 Bebidas alcohólicas y tabaco;Índice;2020M02;99,715
02 Bebidas alcohólicas y tabaco;Índice;2020M01;99,305
03 Vestido y calzado;Índice;2025M10;""
03 Vestido y calzado;Índice;2025M09;102,140
03 Vestido y calzado;Índice;2025M08;99,679
03 Vestido y calzado;Índice;2025M07;100,675
03 Vestido y calzado;Índice;2025M06;110,936
03 Vestido y calzado;Índice;2025M05;111,877
03 Vestido y calzado;Índice;2025M04;109,174
03 Vestido y calzado;Índice;2025M03;101,829
03 Vestido y calzado;Índice;2025M02;99,363
03 Vestido y calzado;Índice;2025M01;100,922
03 Vestido y calzado;Índice;2024M12;113,662
03 Vestido y calzado;Índice;2024M11;114,520
03 Vestido y calzado;Índice;2024M10;109,916
03 Vestido y calzado;Índice;2024M09;101,322
03 Vestido y calzado;Índice;2024M08;98,972
03 Vestido y calzado;Índice;2024M07;99,829
03 Vestido y calzado;Índice;2024M06;110,405
03 Vestido y calzado;Índice;2024M05;111,309
03 Vestido y calzado;Índice;2024M04;108,812
03 Vestido y calzado;Índice;2024M03;101,600
03 Vestido y calzado;Índice;2024M02;99,217
03 Vestido y calzado;Índice;2024M01;101,067
03 Vestido y calzado;Índice;2023M12;113,150
03 Vestido y calzado;Índice;2023M11;114,238
03 Vestido y calzado;Índice;2023M10;109,614
03 Vestido y calzado;Índice;2023M09;100,897
03 Vestido y calzado;Índice;2023M08;98,313
03 Vestido y calzado;Índice;2023M07;98,918
03 Vestido y calzado;Índice;2023M06;109,585
03 Vestido y calzado;Índice;2023M05;110,465
03 Vestido y calzado;Índice;2023M04;107,954
03 Vestido y calzado;Índice;2023M03;100,440
03 Vestido y calzado;Índice;2023M02;97,357
03 Vestido y calzado;Índice;2023M01;98,595
03 Vestido y calzado;Índice;2022M12;111,381
03 Vestido y calzado;Índice;2022M11;111,761
03 Vestido y calzado;Índice;2022M10;108,164
03 Vestido y calzado;Índice;2022M09;99,711
03 Vestido y calzado;Índice;2022M08;96,232
03 Vestido y calzado;Índice;2022M07;96,840
03 Vestido y calzado;Índice;2022M06;107,796
03 Vestido y calzado;Índice;2022M05;108,442
03 Vestido y calzado;Índice;2022M04;105,585
03 Vestido y calzado;Índice;2022M03;97,291
03 Vestido y calzado;Índice;2022M02;93,722
03 Vestido y calzado;Índice;2022M01;95,143
03 Vestido y calzado;Índice;2021M12;109,391
03 Vestido y calzado;Índice;2021M11;111,726
03 Vestido y calzado;Índice;2021M10;106,683
03 Vestido y calzado;Índice;2021M09;95,998
03 Vestido y calzado;Índice;2021M08;91,143
03 Vestido y calzado;Índice;2021M07;92,189
03 Vestido y calzado;Índice;2021M06;105,264
03 Vestido y calzado;Índice;2021M05;106,650
03 Vestido y calzado;Índice;2021M04;104,254
