;Renta baja;Renta media-baja;Renta media-alta;Renta alta
Total Nacional;25,0;25,0;25,0;25,0
Andalucía;82,2;13,8;3,9;0,1
Aragón;10,9;23,4;36,4;29,3
Asturias, Principado de;5,1;28,2;47,4;19,2
Balears, Illes;0,0;11,9;53,7;34,3
Canarias;35,2;45,5;14,8;4,5
Cantabria;5,9;44,1;41,2;8,8
Castilla y León;11,5;29,4;33,2;25,9
Castilla-La Mancha;43,7;25,1;15,5;15,7
Cataluña;3,1;15,4;34,6;46,9
Comunitat Valenciana;25,1;45,4;22,0;7,6
Extremadura;82,5;13,7;3,4;0,5
Galicia;13,1;58,1;26,2;2,6
Madrid, Comunidad de;6,1;26,3;31,8;35,8
Murcia, Región de;84,4;15,6;0,0;0,0
Navarra, Comunidad Foral de;1,1;5,1;18,8;75,0
País Vasco;2,4;2,0;7,2;88,4
Rioja, La;13,2;25,9;29,3;31,6
Ceuta;0,0;0,0;100,0;0,0
Melilla;0,0;100,0;0,0;0,0
