Sexo;Edad;Renta anual neta media por persona y por unidad de consumo;Periodo;Total
Ambos sexos;Total;Renta neta media por persona;2024;14.807
Ambos sexos;Total;Renta neta media por persona;2023;14.082
Ambos sexos;Total;Renta neta media por persona;2022;13.008
Ambos sexos;Total;Renta neta media por persona;2021;12.269
Ambos sexos;Total;Renta neta media por persona;2020;12.292
Ambos sexos;Total;Renta neta media por persona;2019;11.680
Ambos sexos;Total;Renta neta media por persona;2018;11.412
Ambos sexos;Total;Renta neta media por persona;2017;11.074
Ambos sexos;Total;Renta neta media por persona;2016;10.708
Ambos sexos;Total;Renta neta media por persona;2015;10.419
Ambos sexos;Total;Renta neta media por persona;2014;10.391
Ambos sexos;Total;Renta neta media por persona;2013;10.531
Ambos sexos;Total;Renta neta media por persona;2012;10.795
Ambos sexos;Total;Renta neta media por persona;2011;10.858
Ambos sexos;Total;Renta neta media por persona;2010;11.284
Ambos sexos;Total;Renta neta media por persona;2009;11.318
Ambos sexos;Total;Renta neta media por persona;2008;10.737
Ambos sexos;Total;Renta media por unidad de consumo;2024;21.759
Ambos sexos;Total;Renta media por unidad de consumo;2023;20.676
Ambos sexos;Total;Renta media por unidad de consumo;2022;19.160
Ambos sexos;Total;Renta media por unidad de consumo;2021;18.103
Ambos sexos;Total;Renta media por unidad de consumo;2020;18.116
Ambos sexos;Total;Renta media por unidad de consumo;2019;17.287
Ambos sexos;Total;Renta media por unidad de consumo;2018;16.937
Ambos sexos;Total;Renta media por unidad de consumo;2017;16.390
Ambos sexos;Total;Renta media por unidad de consumo;2016;15.842
Ambos sexos;Total;Renta media por unidad de consumo;2015;15.408
Ambos sexos;Total;Renta media por unidad de consumo;2014;15.405
Ambos sexos;Total;Renta media por unidad de consumo;2013;15.635
Ambos sexos;Total;Renta media por unidad de consumo;2012;16.119
Ambos sexos;Total;Renta media por unidad de consumo;2011;16.280
Ambos sexos;Total;Renta media por unidad de consumo;2010;16.922
Ambos sexos;Total;Renta media por unidad de consumo;2009;17.042
Ambos sexos;Total;Renta media por unidad de consumo;2008;16.190
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2024;16.917
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2023;16.180
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2022;15.086
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2021;14.255
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2020;14.212
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2019;13.549
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2018;13.223
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2017;12.841
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2016;12.347
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2015;11.992
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2014;12.021
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2013;11.997
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2012;12.327
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2011;12.483
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2010;12.933
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2009;12.790
Ambos sexos;Total;Renta media por persona (con alquiler imputado);2008;12.237
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2024;24.666
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2023;23.574
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2022;22.054
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2021;20.874
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2020;20.800
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2019;19.903
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2018;19.479
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2017;18.863
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2016;18.137
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2015;17.612
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2014;17.684
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2013;17.694
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2012;18.268
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2011;18.584
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2010;19.252
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2009;19.124
Ambos sexos;Total;Renta media por unidad de consumo (con alquiler imputado);2008;18.322
Ambos sexos;Menores de 16 años;Renta neta media por persona;2024;10.424
Ambos sexos;Menores de 16 años;Renta neta media por persona;2023;10.129
Ambos sexos;Menores de 16 años;Renta neta media por persona;2022;9.605
Ambos sexos;Menores de 16 años;Renta neta media por persona;2021;9.036
Ambos sexos;Menores de 16 años;Renta neta media por persona;2020;9.025
Ambos sexos;Menores de 16 años;Renta neta media por persona;2019;8.899
Ambos sexos;Menores de 16 años;Renta neta media por persona;2018;8.919
Ambos sexos;Menores de 16 años;Renta neta media por persona;2017;8.354
Ambos sexos;Menores de 16 años;Renta neta media por persona;2016;8.078
Ambos sexos;Menores de 16 años;Renta neta media por persona;2015;7.841
Ambos sexos;Menores de 16 años;Renta neta media por persona;2014;7.726
Ambos sexos;Menores de 16 años;Renta neta media por persona;2013;7.741
Ambos sexos;Menores de 16 años;Renta neta media por persona;2012;8.151
Ambos sexos;Menores de 16 años;Renta neta media por persona;2011;8.259
Ambos sexos;Menores de 16 años;Renta neta media por persona;2010;8.355
Ambos sexos;Menores de 16 años;Renta neta media por persona;2009;8.444
Ambos sexos;Menores de 16 años;Renta neta media por persona;2008;8.005
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2024;18.975
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2023;18.381
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2022;17.489
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2021;16.423
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2020;16.340
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2019;16.094
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2018;16.142
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2017;15.100
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2016;14.635
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2015;14.166
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2014;13.970
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2013;13.993
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2012;14.806
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2011;14.957
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2010;15.120
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2009;15.323
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo;2008;14.476
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2024;11.513
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2023;11.276
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2022;10.830
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2021;10.203
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2020;10.175
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2019;10.036
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2018;10.039
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2017;9.410
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2016;9.042
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2015;8.764
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2014;8.649
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2013;8.596
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2012;9.019
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2011;9.248
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2010;9.318
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2009;9.272
Ambos sexos;Menores de 16 años;Renta media por persona (con alquiler imputado);2008;8.871
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2024;20.933
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2023;20.442
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2022;19.701
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2021;18.527
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2020;18.409
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2019;18.136
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2018;18.147
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2017;16.989
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2016;16.363
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2015;15.817
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2014;15.620
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2013;15.525
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2012;16.367
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2011;16.733
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2010;16.851
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2009;16.809
Ambos sexos;Menores de 16 años;Renta media por unidad de consumo (con alquiler imputado);2008;16.030
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2024;13.463
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2023;12.822
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2022;11.660
