fecha;precio_m2;provincia;comunidad;Periodo;trimestre
01/09/2025;1030,00;Ávila;Castilla y Leon;2025;T3
01/09/2025;1240,00;Córdoba;Andalucia;2025;T3
01/09/2025;2010,00;Cantabria;Cantabria;2025;T3
01/09/2025;2060,00;Melilla;Melilla;2025;T3
01/09/2025;2620,00;Alicante;Comunitat Valenciana;2025;T3
01/09/2025;2800,00;Las Palmas;Canarias;2025;T3
01/09/2025;5090,00;Palma de Mallorca;Baleares;2025;T3
01/09/2025;5950,00;Madrid;Madrid;2025;T3
01/09/2025;743,00;Ciudad Real;Castilla la Mancha;2025;T3
01/09/2025;823,00;Jaén;Andalucia;2025;T3
01/09/2025;842,00;Cuenca;Castilla la Mancha;2025;T3
01/09/2025;913,00;Teruel;Aragon;2025;T3
01/09/2025;974,00;Badajoz;Extremadura;2025;T3
01/09/2025;988,00;Zamora;Castilla y Leon;2025;T3
01/09/2025;1006,00;Cáceres;Extremadura;2025;T3
01/09/2025;1013,00;Toledo;Castilla la Mancha;2025;T3
01/09/2025;1054,00;Ourense;Galicia;2025;T3
01/09/2025;1056,00;León;Castilla y León;2025;T3
01/09/2025;1091,00;Lugo;Galicia;2025;T3
01/09/2025;1147,00;Albacete;Castilla la Mancha;2025;T3
01/09/2025;1175,00;Palencia;Castilla y Leon;2025;T3
01/09/2025;1202,00;Soria;Castilla y Leon;2025;T3
01/09/2025;1224,00;Burgos;Castilla y Leon;2025;T3
01/09/2025;1422,00;Segovia;Castilla y Leon;2025;T3
01/09/2025;1436,00;Guadalajara;Castilla la Mancha;2025;T3
01/09/2025;1442,00;Almeria;Andalucia;2025;T3
01/09/2025;1456,00;Salamanca;Castilla y Leon;2025;T3
01/09/2025;1458,00;Castellón;Comunitat Valenciana;2025;T3
01/09/2025;1467,00;Valladolid;Castilla y Leon;2025;T3
01/09/2025;1472,00;Lleida;Cataluña;2025;T3
01/09/2025;1513,00;A Coruña;Galicia;2025;T3
01/09/2025;1552,00;Zaragoza;Aragon;2025;T3
01/09/2025;1555,00;Murcia;Murcia;2025;T3
01/09/2025;1593,00;Huelva;Andalucia;2025;T3
01/09/2025;1626,00;Granada;Andalucia;2025;T3
01/09/2025;1631,00;Huesca;Aragon;2025;T3
01/09/2025;1635,00;Gijón;Asturias;2025;T3
01/09/2025;1714,00;Sevilla;Andalucia;2025;T3
01/09/2025;1738,00;Tarragona;Cataluña;2025;T3
01/09/2025;1766,00;Pontevedra;Galicia;2025;T3
01/09/2025;1779,00;Pamplona;Navarra;2025;T3
01/09/2025;1848,00;Valencia;Comunitat Valenciana;2025;T3
01/09/2025;2156,00;Cádiz;Andalucia;2025;T3
01/09/2025;2343,00;Ceuta;Ceuta;2025;T3
01/09/2025;2408,00;Vitoria-Gasteiz;Euskadi;2025;T3
01/09/2025;2599,00;Gerona;Cataluña;2025;T3
01/09/2025;2994,00;Barcelona;Cataluña;2025;T3
01/09/2025;3152,00;Bilbao;Euskadi;2025;T3
01/09/2025;3284,00;Santa Cruz de Tenerife;Canarias;2025;T3
01/09/2025;3982,00;Malaga;Andalucia;2025;T3
01/09/2025;4033,00;Guipuzcoa;Euskadi;2025;T3
01/08/2025;1010,00;Cáceres;Extremadura;2025;T3
01/08/2025;1570,00;Huelva;Andalucia;2025;T3
01/08/2025;1760,00;Pontevedra;Galicia;2025;T3
01/08/2025;743,00;Ciudad Real;Castilla la Mancha;2025;T3
01/08/2025;833,00;Jaén;Andalucia;2025;T3
01/08/2025;847,00;Cuenca;Castilla la Mancha;2025;T3
01/08/2025;918,00;Teruel;Aragon;2025;T3
01/08/2025;965,00;Zamora;Castilla y Leon;2025;T3
01/08/2025;971,00;Badajoz;Extremadura;2025;T3
01/08/2025;1007,00;Toledo;Castilla la Mancha;2025;T3
01/08/2025;1012,00;Ávila;Castilla y Leon;2025;T3
01/08/2025;1048,00;León;Castilla y León;2025;T3
01/08/2025;1052,00;Ourense;Galicia;2025;T3
